"","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"Printing.services..rec..sound.image.data.carriers",3227.37593566495,3019.42801821567,2986.75428334644,2952.26271807139,2902.57927710111,2932.1624583018,2822.56609447348,2839.80164277355,2812.8679350178,2782.26995584345,2769.74512417382,2706.01696322728,2635.28055968354,2648.53643815043,2557.23948644425,2398.72364880675,2409.71022620308,2298.2768484277,2190.2178124155,2030.42787435361,1972.07795611066,1770.85857921122,1621.74108032766,1443.38473971634,1242.58812337486,956.863476619351,734.71534763149
"Coke.and.refined.petroleum.products",469.793003113991,438.725874733157,434.067777431408,428.633271742592,421.114549875497,426.228868998912,409.512009748181,412.341664166303,408.1069049978,403.713473814027,401.648281168365,392.679698559373,381.993268789013,384.142158413547,370.834797689024,346.487486207881,348.654039845341,332.139813950215,315.580895121814,292.007176404701,283.217646650044,253.357190847392,231.251053244047,205.089441259057,174.801953361027,132.628422258922,99.9795739459325
"Chemicals.and.chemical.products",16174.2734065406,15030.193151393,14878.9835858346,14653.223774677,14367.5914422784,14619.169361054,13972.298545466,14099.6897094353,13924.5402914736,13778.9397879204,13685.2255637972,13405.2293226063,13000.9012679417,13095.374411177,12635.5662031605,11678.3861979892,11805.9823931382,11210.005982434,10562.4209917531,9721.48416585106,9391.2334757879,8309.92863634272,7511.4874612539,6592.17268215286,5450.51609827323,3944.16311782146,2790.97379228107
"Pharmaceutical.products",282.294603096461,264.109548040308,261.251137739448,258.23622367265,253.891873730572,256.475531697699,246.893001343392,248.399006943839,246.04468299234,243.368019597024,242.273669986896,236.697941824177,230.512618848314,231.671023177087,223.68547765696,209.826509459334,210.784721199686,201.039213816654,191.591473202997,177.616376949874,172.514026186338,154.916398486155,141.875227154266,126.275590187712,108.717327027282,83.7281862486822,64.2986857740451
"Rubber.and.plastics.products",54402.4821640105,50609.2006638043,50093.8571702254,49362.9792197161,48421.9669698761,49212.5526282283,47089.3241324717,47495.7351295834,46928.2336284642,46434.3361030752,46135.7796053186,45172.8127760349,43839.6617746554,44142.3341299317,42596.9795714412,39465.0780783884,39855.2148922489,37870.8273192298,35749.7271894364,32942.8190369737,31852.3700874849,28254.5990167124,25596.540217277,22518.1120400012,18750.9653550977,13724.3668186178,9867.05089213685
"Glass.and.glassware",30134.9814588391,27987.1302605224,27707.4060164622,27278.3410439055,26740.3202559786,27225.5336200546,26004.7427550117,26248.6356915696,25915.8971381737,25645.8583845177,25466.3171803184,24950.9289545425,24189.6566941209,24370.1483250606,23513.0984076488,21703.7613073384,21953.0665986769,20836.6902067988,19613.2252803478,18040.0349719571,17418.6946187661,15392.4395669216,13896.6709003775,12179.792190048,10031.1241342164,7212.69750601016,5057.77783780222
"Ceramic.products..processed.stone.and.clay",40529.9535390299,37678.7211805456,37297.8926570462,36740.292620052,36030.1675672945,36644.729316106,35038.7570008385,35351.6858236727,34918.953401362,34552.9155964561,34322.8308387966,33615.166899074,32609.6336399351,32842.0657174719,31690.2128081123,29316.6522682136,29625.2592929494,28137.6000670326,26531.1295826837,24430.0430966037,23608.2939628895,20909.9089764374,18916.9952135984,16617.2567509825,13777.2237190201,10013.977681815,7130.39998417343
"Pig.iron.steel.products.of.the.first.proc.of.steel",1242.86985716229,1170.93661438224,1157.35167281072,1148.29769232311,1132.09329708775,1135.22692445099,1100.82439581507,1104.18337348562,1097.02207370948,1084.61970477593,1082.26997755402,1054.58000347175,1031.32217816194,1034.18562996267,999.208071462049,951.173971167203,949.606691421986,909.69251264388,876.554963442075,818.227781795809,798.780675039896,727.116089026681,673.777400348094,607.127659801481,540.619514877545,436.535071563281,354.172747578975
"Non.ferrous.metals.and.semi.finished.products",286.481421234659,270.156355841257,266.993595650659,265.039280257627,261.396023598216,261.859302505439,254.174253746621,254.845676221665,253.295700553467,250.417541282549,249.95350848583,243.472237975686,238.236225985515,238.825954578372,230.76930960454,220.105503429558,219.562397318007,210.456240586308,203.083875052828,189.740084031211,185.352354778122,169.016374306347,156.849983089564,141.551067063878,126.560259719998,102.755371753075,83.870827749811
"Foundry.products",1355.56016854944,1295.26938417502,1278.21843383126,1277.7709655449,1266.62664231029,1251.63244941891,1231.50682756673,1227.86153590455,1227.20918433746,1212.30230018891,1215.25405026039,1178.03522791876,1161.54792204781,1159.67412114633,1121.92891493839,1098.54488326148,1083.90926273822,1047.06203305719,1029.81632182834,973.353013158021,958.883235195847,893.707781787691,844.643771967973,776.489190714263,728.070218023746,627.810329130488,545.086120505944
