"year","rate","Variable","Value"
2026,1.5,"cum_saved_ghg_decarb_rand",3.71446426167061e-05
2026,1.5,"remain_kw_direct_prio",2753968567.31379
2026,1.5,"remain_ghg_direct_prio",0.000595315607417114
2026,1.5,"remain_kw_prio",3087400651.08092
2026,1.5,"remain_ghg_old_prio",0.000699140689899046
2026,1.5,"remain_ghg_neutral_prio",0.000687043651035962
2026,1.5,"remain_ghg_decarb_prio",0.000681954290232092
2026,1.5,"remain_kw_direct_rand",2930413315.15317
2026,1.5,"remain_ghg_direct_rand",0.000645498243408763
2026,1.5,"remain_kw_rand",3283633776.86437
2026,1.5,"remain_ghg_old_rand",0.000753265629201504
2026,1.5,"remain_ghg_neutral_rand",0.000747560489648928
2026,1.5,"remain_ghg_decarb_rand",0.000743738421249024
2026,1.5,"relative_kw_direct_prio",0.910890271539558
2026,1.5,"relative_ghg_direct_prio",0.878249063018127
2026,1.5,"relative_kw_prio",0.911897694893311
2026,1.5,"relative_ghg_old_prio",0.895320595683018
2026,1.5,"relative_ghg_neutral_prio",0.879829109924321
2026,1.5,"relative_ghg_decarb_prio",0.873311666994165
2026,1.5,"relative_kw_direct_rand",0.969250343683707
2026,1.5,"relative_ghg_direct_rand",0.95228181554525
2026,1.5,"relative_kw_rand",0.969857304055467
2026,1.5,"relative_ghg_old_rand",0.964633072553133
2026,1.5,"relative_ghg_neutral_rand",0.957327062451784
2026,1.5,"relative_ghg_decarb_rand",0.952432516037903
2027,1.5,"sum_saved_kw_direct_prio",65650826.4284688
2027,1.5,"sum_saved_ghg_direct_prio",2.04996802158079e-05
2027,1.5,"sum_saved_kw_prio",72600158.851095
2027,1.5,"sum_saved_ghg_old_prio",1.99720503832944e-05
2027,1.5,"sum_saved_ghg_neutral_prio",2.31163188232057e-05
2027,1.5,"sum_saved_ghg_decarb_prio",2.44219363629855e-05
2027,1.5,"sum_saved_kw_direct_rand",31723484.8229646
2027,1.5,"sum_saved_ghg_direct_rand",1.11509838930727e-05
2027,1.5,"sum_saved_kw_rand",34471054.463417
2027,1.5,"sum_saved_ghg_old_rand",9.38065603686303e-06
2027,1.5,"sum_saved_ghg_neutral_rand",1.14344184759669e-05
2027,1.5,"sum_saved_ghg_decarb_rand",1.26833161959549e-05
2027,1.5,"cum_saved_kw_direct_prio",335063508.60274
2027,1.5,"cum_saved_ghg_direct_prio",0.000103027787622933
2027,1.5,"cum_saved_kw_prio",370887034.310239
2027,1.5,"cum_saved_ghg_old_prio",0.000101714424349979
2027,1.5,"cum_saved_ghg_neutral_prio",0.000116955731652974
2027,1.5,"cum_saved_ghg_decarb_prio",0.000123350709996624
2027,1.5,"cum_saved_kw_direct_rand",124691419.157846
2027,1.5,"cum_saved_ghg_direct_rand",4.34964553085486e-05
2027,1.5,"cum_saved_kw_rand",136524804.139113
2027,1.5,"cum_saved_ghg_old_rand",3.69980907010898e-05
2027,1.5,"cum_saved_ghg_neutral_rand",4.4756992692769e-05
2027,1.5,"cum_saved_ghg_decarb_rand",4.9827958812661e-05
2027,1.5,"remain_kw_direct_prio",2688317740.88532
2027,1.5,"remain_ghg_direct_prio",0.000574815927201306
2027,1.5,"remain_kw_prio",3014800492.22982
2027,1.5,"remain_ghg_old_prio",0.000679168639515752
2027,1.5,"remain_ghg_neutral_prio",0.000663927332212756
2027,1.5,"remain_ghg_decarb_prio",0.000657532353869106
2027,1.5,"remain_kw_direct_rand",2898689830.33021
2027,1.5,"remain_ghg_direct_rand",0.00063434725951569
2027,1.5,"remain_kw_rand",3249162722.40095
2027,1.5,"remain_ghg_old_rand",0.00074388497316464
2027,1.5,"remain_ghg_neutral_rand",0.000736126071172961
2027,1.5,"remain_ghg_decarb_rand",0.000731055105053069
2027,1.5,"relative_kw_direct_prio",0.889175899116436
2027,1.5,"relative_ghg_direct_prio",0.848006575306747
2027,1.5,"relative_kw_prio",0.890454440522673
2027,1.5,"relative_ghg_old_prio",0.869744358590074
2027,1.5,"relative_ghg_neutral_prio",0.850226318043076
2027,1.5,"relative_ghg_decarb_prio",0.842036899371359
2027,1.5,"relative_kw_direct_rand",0.958757626356597
2027,1.5,"relative_ghg_direct_rand",0.935831144617418
2027,1.5,"relative_kw_rand",0.959675899483071
2027,1.5,"relative_ghg_old_rand",0.95262019063657
2027,1.5,"relative_ghg_neutral_rand",0.942684129335318
2027,1.5,"relative_ghg_decarb_rand",0.936190242664517
2028,1.5,"sum_saved_kw_direct_prio",63467849.6432984
2028,1.5,"sum_saved_ghg_direct_prio",1.98218144862368e-05
2028,1.5,"sum_saved_kw_prio",68901244.9781603
2028,1.5,"sum_saved_ghg_old_prio",1.86487391313055e-05
2028,1.5,"sum_saved_ghg_neutral_prio",2.15951949806832e-05
2028,1.5,"sum_saved_ghg_decarb_prio",2.29427054443352e-05
2028,1.5,"sum_saved_kw_direct_rand",31286657.062196
2028,1.5,"sum_saved_ghg_direct_rand",1.0871991930641e-05
2028,1.5,"sum_saved_kw_rand",34481028.4509637
2028,1.5,"sum_saved_ghg_old_rand",9.41226304505841e-06
2028,1.5,"sum_saved_ghg_neutral_rand",1.13332673905634e-05
2028,1.5,"sum_saved_ghg_decarb_rand",1.26207814707674e-05
2028,1.5,"cum_saved_kw_direct_prio",398531358.246038
2028,1.5,"cum_saved_ghg_direct_prio",0.000122849602109169
2028,1.5,"cum_saved_kw_prio",439788279.288399
2028,1.5,"cum_saved_ghg_old_prio",0.000120363163481284
2028,1.5,"cum_saved_ghg_neutral_prio",0.000138550926633657
2028,1.5,"cum_saved_ghg_decarb_prio",0.000146293415440959
2028,1.5,"cum_saved_kw_direct_rand",155978076.220042
2028,1.5,"cum_saved_ghg_direct_rand",5.43684472391896e-05
2028,1.5,"cum_saved_kw_rand",171005832.590077
2028,1.5,"cum_saved_ghg_old_rand",4.64103537461482e-05
2028,1.5,"cum_saved_ghg_neutral_rand",5.60902600833324e-05
2028,1.5,"cum_saved_ghg_decarb_rand",6.24487402834284e-05
2028,1.5,"remain_kw_direct_prio",2624849891.24202
2028,1.5,"remain_ghg_direct_prio",0.000554994112715069
2028,1.5,"remain_kw_prio",2945899247.25166
2028,1.5,"remain_ghg_old_prio",0.000660519900384446
2028,1.5,"remain_ghg_neutral_prio",0.000642332137232073
2028,1.5,"remain_ghg_decarb_prio",0.000634589648424771
2028,1.5,"remain_kw_direct_rand",2867403173.26801
2028,1.5,"remain_ghg_direct_rand",0.000623475267585049
2028,1.5,"remain_kw_rand",3214681693.94998
2028,1.5,"remain_ghg_old_rand",0.000734472710119582
2028,1.5,"remain_ghg_neutral_rand",0.000724792803782398
2028,1.5,"remain_ghg_decarb_rand",0.000718434323582302
2028,1.5,"relative_kw_direct_prio",0.868183558288085
2028,1.5,"relative_ghg_direct_prio",0.818764120072982
2028,1.5,"relative_kw_prio",0.87010370099398
2028,1.5,"relative_ghg_old_prio",0.845862755832568
2028,1.5,"relative_ghg_neutral_prio",0.822571479591622
2028,1.5,"relative_ghg_decarb_prio",0.812656437038422
2028,1.5,"relative_kw_direct_rand",0.948409392217256
2028,1.5,"relative_ghg_direct_rand",0.9197920611342
2028,1.5,"relative_kw_rand",0.949491548983898
2028,1.5,"relative_ghg_old_rand",0.940566832738828
2028,1.5,"relative_ghg_neutral_rand",0.928170730447578
2028,1.5,"relative_ghg_decarb_rand",0.920028051352172
2029,1.5,"sum_saved_kw_direct_prio",57962307.0699971
2029,1.5,"sum_saved_ghg_direct_prio",1.84078798296259e-05
2029,1.5,"sum_saved_kw_prio",63123187.1068919
2029,1.5,"sum_saved_ghg_old_prio",1.73216480418815e-05
2029,1.5,"sum_saved_ghg_neutral_prio",2.02521015974822e-05
2029,1.5,"sum_saved_ghg_decarb_prio",2.14641921977342e-05
2029,1.5,"sum_saved_kw_direct_rand",32235399.7169028
2029,1.5,"sum_saved_ghg_direct_rand",1.11727910491211e-05
2029,1.5,"sum_saved_kw_rand",34999212.0003844
2029,1.5,"sum_saved_ghg_old_rand",9.46227433996812e-06
2029,1.5,"sum_saved_ghg_neutral_rand",1.14269737219457e-05
2029,1.5,"sum_saved_ghg_decarb_rand",1.26830496019457e-05
2029,1.5,"cum_saved_kw_direct_prio",456493665.316035
2029,1.5,"cum_saved_ghg_direct_prio",0.000141257481938795
2029,1.5,"cum_saved_kw_prio",502911466.395291
2029,1.5,"cum_saved_ghg_old_prio",0.000137684811523166
2029,1.5,"cum_saved_ghg_neutral_prio",0.000158803028231139
2029,1.5,"cum_saved_ghg_decarb_prio",0.000167757607638693
2029,1.5,"cum_saved_kw_direct_rand",188213475.936945
2029,1.5,"cum_saved_ghg_direct_rand",6.55412382883107e-05
2029,1.5,"cum_saved_kw_rand",206005044.590461
2029,1.5,"cum_saved_ghg_old_rand",5.58726280861163e-05
2029,1.5,"cum_saved_ghg_neutral_rand",6.7517233805278e-05
2029,1.5,"cum_saved_ghg_decarb_rand",7.51317898853741e-05
2029,1.5,"remain_kw_direct_prio",2566887584.17202
2029,1.5,"remain_ghg_direct_prio",0.000536586232885443
2029,1.5,"remain_kw_prio",2882776060.14477
2029,1.5,"remain_ghg_old_prio",0.000643198252342565
2029,1.5,"remain_ghg_neutral_prio",0.000622080035634591
2029,1.5,"remain_ghg_decarb_prio",0.000613125456227037
2029,1.5,"remain_kw_direct_rand",2835167773.55111
2029,1.5,"remain_ghg_direct_rand",0.000612302476535928
2029,1.5,"remain_kw_rand",3179682481.9496
