"year","sum_saved_kw_direct_prio","sum_saved_ghg_direct_prio","sum_saved_kw_prio","sum_saved_ghg_old_prio","sum_saved_ghg_neutral_prio","sum_saved_ghg_decarb_prio","sum_saved_kw_direct_rand","sum_saved_ghg_direct_rand","sum_saved_kw_rand","sum_saved_ghg_old_rand","sum_saved_ghg_neutral_rand","sum_saved_ghg_decarb_rand","cum_saved_kw_direct_prio","cum_saved_ghg_direct_prio","cum_saved_kw_prio","cum_saved_ghg_old_prio","cum_saved_ghg_neutral_prio","cum_saved_ghg_decarb_prio","cum_saved_kw_direct_rand","cum_saved_ghg_direct_rand","cum_saved_kw_rand","cum_saved_ghg_old_rand","cum_saved_ghg_neutral_rand","cum_saved_ghg_decarb_rand","remain_kw_direct_prio","remain_ghg_direct_prio","remain_kw_prio","remain_ghg_old_prio","remain_ghg_neutral_prio","remain_ghg_decarb_prio","remain_kw_direct_rand","remain_ghg_direct_rand","remain_kw_rand","remain_ghg_old_rand","remain_ghg_neutral_rand","remain_ghg_decarb_rand","relative_kw_direct_prio","relative_ghg_direct_prio","relative_kw_prio","relative_ghg_old_prio","relative_ghg_neutral_prio","relative_ghg_decarb_prio","relative_kw_direct_rand","relative_ghg_direct_rand","relative_kw_rand","relative_ghg_old_rand","relative_ghg_neutral_rand","relative_ghg_decarb_rand"
2033,71677288.3157032,2.3440929564279e-05,75408843.768059,2.00072911936803e-05,2.38046183745442e-05,2.55667008706882e-05,51369975.6033895,1.80322375903445e-05,55817774.1075422,1.51780108771409e-05,1.84533048765556e-05,2.04941875963036e-05,976179943.126613,0.000308425233064959,1056202269.02161,0.000285600747061056,0.000333144494155669,0.000353919090299997,527670514.350448,0.000183864177852497,575935483.052639,0.000156255499358827,0.000188920345475108,0.000210178465473752,2047201306.36144,0.00036941848175928,2329485257.51845,0.000495282316804674,0.000447738569710061,0.000426963973565733,2495710735.13761,0.000493979536971741,2809752043.48742,0.000624627564506903,0.000591962718390622,0.000570704598391978,0.677123107351444,0.544990642651408,0.688039058317653,0.634259263291996,0.573374670841943,0.546770692467148,0.825470071153019,0.728751371693145,0.829891128895405,0.799898977722361,0.758068327746967,0.730845148013235
2034,67336739.8242464,2.23284941194845e-05,71079220.4384099,1.89343742013286e-05,2.26261068178441e-05,2.44580963761343e-05,54707887.8971758,1.91498229225801e-05,59421675.3947399,1.62112465552079e-05,1.96546730774856e-05,2.18406414371377e-05,1043516682.95086,0.000330753727184443,1127281489.46002,0.000304535121262385,0.000355770600973513,0.000378377186676131,582378402.247624,0.000203014000775078,635357158.447379,0.000172466745914035,0.000208575018552594,0.00023201910691089,1979864566.5372,0.000347089987639795,2258406037.08004,0.000476347942603346,0.000425112462892217,0.000402505877189599,2441002847.24043,0.000474829714049161,2750330368.09268,0.000608416317951695,0.000572308045313136,0.00054886395695484,0.654851109787244,0.512050167389682,0.667045029813479,0.610011875843746,0.5443996451757,0.515449618278324,0.807375135919019,0.700500282977887,0.812340284368573,0.779138831542529,0.732898524498595,0.702875990468677
2035,64126842.533917,2.15405855375561e-05,67664034.6569904,1.80117272673573e-05,2.16509135006071e-05,2.34304084341505e-05,54318127.9515718,1.88406501625982e-05,59151924.2367466,1.5995806546225e-05,1.93144527893489e-05,2.14505427891569e-05,1107643525.48478,0.000352294312722,1194945524.11701,0.000322546848529742,0.00037742151447412,0.000401807595110282,636696530.199196,0.000221854650937676,694509082.684125,0.00018846255246026,0.000227889471341943,0.000253469649700047,1915737724.00328,0.000325549402102239,2190742002.42305,0.000458336215335989,0.00040346154939161,0.000379075468755448,2386684719.28886,0.000455989063886563,2691178443.85594,0.00059242051140547,0.000552993592523787,0.000527413414165684,0.633640803430817,0.48027206711897,0.647059713942897,0.58694603141604,0.516673453505689,0.485444602779385,0.78940911593369,0.672705306421257,0.794869113809252,0.758654578155039,0.708164407851561,0.675406393826426
2036,61409373.3071586,2.07407695524502e-05,64634930.5871962,1.71495822328822e-05,2.07141308596566e-05,2.24006309511234e-05,52231911.2927085,1.82959075814175e-05,56540274.8922052,1.52375975028073e-05,1.85184436777679e-05,2.06490188372039e-05,1169052898.79193,0.00037303508227445,1259580454.70421,0.000339696430762624,0.000398135645333777,0.000424208226061405,688928441.491904,0.000240150558519093,751049357.57633,0.000203700149963068,0.000246407915019711,0.000274118668537251,1854328350.69612,0.000304808632549789,2126107071.83585,0.000441186633103106,0.000382747418531953,0.000356674837804325,2334452807.99615,0.000437693156305145,2634638168.96373,0.000577182913902663,0.000534475148846019,0.00050676439532848,0.613329314988016,0.449673908430093,0.627969077231585,0.564984251187405,0.490146907063367,0.456758321839662,0.772133123598435,0.645713970245541,0.778169322570695,0.739141288383618,0.684449661643475,0.648963229935815
2037,59011939.8940518,2.00140173421212e-05,62699787.3776884,1.66512340548851e-05,2.00869631865789e-05,2.18859234144616e-05,54302896.4640817,1.89373798528966e-05,58873484.8745994,1.59047156537437e-05,1.9300289487799e-05,2.1416592927331e-05,1228064838.68599,0.000393049099616571,1322280242.0819,0.000356347664817509,0.000418222608520356,0.000446094149475867,743231337.955986,0.00025908793837199,809922842.45093,0.000219604865616811,0.00026570820450751,0.000295535261464582,1795316410.80207,0.000284794615207668,2063407284.45816,0.000424535399048221,0.000362660455345375,0.000334788914389863,2280149911.53207,0.000418755776452249,2575764684.08913,0.000561278198248919,0.00051517485935822,0.000485347802401149,0.593810790850829,0.420147902797201,0.609450006323183,0.543660656368414,0.464423512465539,0.428731176128349,0.754172141511483,0.617776291635056,0.760780392135415,0.718773686127003,0.659733682541235,0.621537109536547
2038,55987344.575919,1.93078970421728e-05,59218834.4161464,1.58352404118727e-05,1.91984411981786e-05,2.09767874176115e-05,53539365.9899459,1.86795010543832e-05,58033777.3312114,1.56410571844056e-05,1.89676360728712e-05,2.10794722726311e-05,1284052183.26191,0.000412356996658744,1381499076.49804,0.000372182905229382,0.000437421049718534,0.000467070936893478,796770703.945932,0.000277767439426373,867956619.782141,0.000235245922801217,0.000284675840580381,0.000316614733737213,1739329066.22615,0.000265486718165495,2004188450.04202,0.000408700158636348,0.000343462014147196,0.000313812126972252,2226610545.54212,0.000400076275397865,2517730906.75792,0.000545637141064513,0.000496207223285349,0.000464268330128518,0.575292668273533,0.391663612657874,0.591959073107422,0.523382024208714,0.439837960432771,0.401868271311632,0.736463701334111,0.590219052929632,0.743639478546582,0.698743725293975,0.635443699891371,0.594542706343477
2039,53452262.3093127,1.8452944818344e-05,56957556.7361693,1.52246047693527e-05,1.84829770512987e-05,2.0212774098398e-05,53345402.4627126,1.84937017773043e-05,58405579.4676475,1.58843472368624e-05,1.91474197087299e-05,2.12871581880819e-05,1337504445.57122,0.000430809941477088,1438456633.23421,0.000387407509998735,0.000455904026769833,0.000487283710991877,850116106.408645,0.000296261141203677,926362199.249789,0.000251130270038079,0.000303823260289111,0.000337901891925295,1685876803.91684,0.000247033773347151,1947230893.30585,0.000393475553866996,0.000324979037095897,0.000293599352873854,2173265143.07941,0.000381582573620561,2459325327.29027,0.000529752793827651,0.000477059803576619,0.000442981171940436,0.557613038118267,0.36444060473616,0.575136033092748,0.503885372950863,0.416168632838701,0.375983763075104,0.718819415661656,0.562935917639221,0.726388749112808,0.678402206861974,0.610923486053026,0.567282340261646
2040,50594978.6549199,1.77883532623857e-05,54095753.1841447,1.45323855414788e-05,1.77740510571649e-05,1.95116039974791e-05,53262372.4552227,1.85213227883249e-05,57964081.2192061,1.57072414045061e-05,1.90174687452219e-05,2.10743453059899e-05,1388099424.22614,0.000448598294739473,1492552386.41836,0.000401939895540213,0.000473678077826998,0.000506795314989356,903378478.863867,0.000314782463992002,984326280.468995,0.000266837511442585,0.000322840729034333,0.000358976237231285,1635281825.26192,0.000229245420084765,1893135140.1217,0.000378943168325517,0.000307204986038732,0.000274087748876375,2120002770.62419,0.000363061250832236,2401361246.07107,0.000514045552423145,0.000458042334831398,0.000421906826634446,0.540878470268617,0.338198046350857,0.559158258191758,0.485275178654246,0.393407156915309,0.350997174300995,0.701202592621478,0.535612034001637,0.709268421036212,0.65828749041935,0.586569687609662,0.540294502669597
2041,48461267.7611609,1.72759175589048e-05,51747055.3476872,1.38676389180226e-05,1.70396261937923e-05,1.88191901391328e-05,53479242.7029709,1.87096889648592e-05,58429462.0443975,1.59108975149339e-05,1.92348589650419e-05,2.1455961644094e-05,1436560691.9873,0.000465874212298378,1544299441.76605,0.000415807534458236,0.00049071770402079,0.000525614505128489,956857721.566838,0.000333492152956861,1042755742.51339,0.000282748408957519,0.000342075587999375,0.000380432198875379,1586820557.50076,0.00021196950252586,1841388084.77401,0.000365075529407494,0.00029016535984494,0.000255268558737242,2066523527.92122,0.000344351561867377,2342931784.02667,0.000498134654908211,0.000438807475866356,0.000400450864990352,0.524849639048814,0.312711467098021,0.543874196995311,0.467516259861243,0.37158618655204,0.32689729173219,0.683514038552412,0.508010260088737,0.692010637621063,0.637911971662204,0.561937498931091,0.512817966633744
2042,45449238.3936297,1.66242694064901e-05,48417094.7429421,1.31719058092097e-05,1.63896784464091e-05,1.8131277446337e-05,53418401.7806486,1.85228053188449e-05,58179109.8978423,1.56754499290643e-05,1.8926705087255e-05,2.1071636206787e-05,1482009930.38093,0.000482498481704868,1592716536.50899,0.000428979440267446,0.000507107382467199,0.000543745782574826,1010276123.34749,0.000352014958275706,1100934852.41123,0.000298423858886584,0.00036100229308663,0.000401503835082166,1541371319.10713,0.00019534523311937,1792970990.03107,0.000351903623598285,0.000273775681398531,0.000237137281290905,2013105126.14057,0.000325828756548532,2284752674.12883,0.000482459204979147,0.000419880770779101,0.000379379228783565,0.509817053131531,0.288186242414333,0.529573676240396,0.450648297910573,0.350597540229923,0.303678351169465,0.665845607953494,0.480684189323815,0.674826798462316,0.617837967429786,0.537699932561602,0.485833598318118
2043,43890106.2345618,1.6130430894182e-05,46681860.0172587,1.26223481804052e-05,1.57279088462201e-05,1.74841261041158e-05,51310151.8838901,1.78987180693267e-05,56110299.5090972,1.51926464491024e-05,1.83929741402163e-05,2.04768712197362e-05,1525900036.61549,0.00049862891259905,1639398396.52625,0.000441601788447851,0.00052283529131342,0.000561229908678941,1061586275.23138,0.000369913676345033,1157045151.92033,0.000313616505335686,0.000379395267226846,0.000421980706301902,1497481212.87257,0.000179214802225188,1746289130.01381,0.000339281275417879,0.000258047772552311,0.000219653155186789,1961794974.25668,0.000307930038479205,2228642374.61973,0.000467266558530044,0.000401487796638884,0.000358902357563829,0.495300158763018,0.264389561053402,0.51578567612186,0.434484100267563,0.330456357031046,0.281288153567328,0.648874492619436,0.454278813456359,0.658254005176091,0.598382242043847,0.514145862827829,0.459610886919607
2044,41425978.9928861,1.54256229457304e-05,44555397.4218852,1.208104766428e-05,1.5072143068546e-05,1.68989229337609e-05,53626223.5096446,1.86750715069035e-05,58149880.2084015,1.57360598398729e-05,1.90586746731875e-05,2.11852636731515e-05,1567326015.60838,0.000514054535544781,1683953793.94813,0.000453682836112131,0.000537907434381966,0.000578128831612702,1115212498.74102,0.000388588747851937,1215195032.12873,0.000329352565175559,0.000398453941900033,0.000443165969975053,1456055233.87968,0.000163789179279458,1701733732.59193,0.000327200227753599,0.000242975629483765,0.000202754232253028,1908168750.74704,0.000289254966972302,2170492494.41133,0.000451530498690171,0.000382429121965697,0.000337717093890677,0.481598288051244,0.241632659118079,0.502625750088338,0.419013092861571,0.311154948451467,0.259647368005782,0.631137323839043,0.426728109513126,0.641078799327184,0.578230620670511,0.489739296012513,0.432481007103448
2045,38818792.6396372,1.46530426412142e-05,42035235.2939426,1.14956725933853e-05,1.44658230421626e-05,1.62121480392771e-05,53196418.9626811,1.85257960631917e-05,57961676.53405,1.57566060269533e-05,1.90414414955929e-05,2.11513678946209e-05,1606144808.24801,0.000528707578185995,1725989029.24207,0.000465178508705516,0.000552373257424128,0.000594340979651979,1168408917.7037,0.000407114543915128,1273156708.66278,0.000345109171202512,0.000417495383395626,0.000464317337869674,1417236441.24004,0.000149136136638243,1659698497.29799,0.000315704555160214,0.000228509806441602,0.000186542084213751,1854972331.78435,0.00027072917090911,2112530817.87728,0.000435773892663218,0.000363387680470104,0.000316565725996056,0.468758758585283,0.220015518882422,0.490210181621245,0.404291717632255,0.292629994189365,0.238886067384125,0.613542315279773,0.399397626603809,0.623959181500762,0.558052687819783,0.465354798029769,0.405394534271124
2046,36918381.0111892,1.42249141563911e-05,39732308.4991569,1.09256251271062e-05,1.38707711801888e-05,1.55925835306072e-05,50678251.4934329,1.77625276314913e-05,55709657.2303138,1.51543996678549e-05,1.83188465687331e-05,2.04284369691652e-05,1643063189.2592,0.000542932492342386,1765721337.74123,0.000476104133832622,0.000566244028604317,0.000609933563182587,1219087169.19714,0.00042487707154662,1328866365.8931,0.000360263570870367,0.000435814229964359,0.000484745774838839,1380318060.22885,0.000134911222481852,1619966188.79883,0.000304778930033108,0.000214639035261413,0.000170949500683144,1804294080.29092,0.000252966643277619,2056821160.64696,0.000420619492995363,0.000345068833901371,0.000296137289026891,0.456547800732237,0.19902998217935,0.478474807878778,0.390300346026602,0.274867064216826,0.218918181983439,0.596780204480146,0.373193167901855,0.607504722312308,0.538645941318157,0.441895656173053,0.379233847845125
2047,34332818.0826104,1.34944938384297e-05,37142362.5768963,1.02922669825572e-05,1.31257401856494e-05,1.49049145848302e-05,51603611.0990056,1.81051862796503e-05,56498789.5516898,1.53876028176238e-05,1.85735857548814e-05,2.07815880345695e-05,1677396007.34181,0.000556426986180816,1802863700.31813,0.00048639640081518,0.000579369768789966,0.000624838477767417,1270690780.29614,0.00044298225782627,1385365155.44479,0.000375651173687991,0.000454387815719241,0.000505527362873409,1345985242.14624,0.000121416728643423,1582823826.22193,0.000294486663050551,0.000201513295075764,0.000156044586098313,1752690469.19192,0.000234861456997969,2000322371.09527,0.000405231890177739,0.00032649524814649,0.000275355700992322,0.445192032058199,0.179122009967896,0.467504403112909,0.377120053792313,0.258058222031581,0.199830926446043,0.579712025894417,0.346483196438381,0.590817184224755,0.518940554519975,0.418110294939921,0.352620915645403
2048,32620115.0426989,1.30654225260294e-05,35602764.1466546,9.86749764656523e-06,1.26764889445512e-05,1.44949705025585e-05,52609109.4514153,1.83449700483727e-05,57161626.5331791,1.54812626626892e-05,1.87680279301338e-05,2.08307969697139e-05,1710016122.38451,0.000569492408706845,1838466464.46478,0.000496263898461745,0.000592046257734517,0.000639333448269975,1323299889.74756,0.000461327227874643,1442526781.97797,0.00039113243635068,0.000473155843649375,0.000526358159843123,1313365127.10354,0.000108351306117393,1547221062.07528,0.000284619165403985,0.000188836806131213,0.000141549615595755,1700081359.7405,0.000216516486949596,1943160744.5621,0.00038975062751505,0.000307727220216356,0.000254524904022608,0.434402749347584,0.159847032210792,0.456988735654655,0.364483721794387,0.241824691646383,0.181268645903292,0.562311273190694,0.319419480057785,0.573933869953992,0.49911522678646,0.394075930771202,0.325944966410966
2049,29888020.5477705,1.22736251775127e-05,32654344.6911911,9.17350250856379e-06,1.1905837621726e-05,1.36923769543751e-05,52046725.6515763,1.820155600328e-05,56816166.1471564,1.5433415313387e-05,1.87225992058411e-05,2.07706339255771e-05,1739904142.93228,0.000581766033884358,1871120809.15597,0.000505437400970309,0.000603952095356243,0.00065302582522435,1375346615.39913,0.000479528783877922,1499342948.12512,0.000406565851664067,0.000491878442855216,0.0005471287937687,1283477106.55577,9.60776809398805e-05,1514566717.38409,0.000275445662895422,0.000176930968509487,0.00012785723864138,1648034634.08892,0.000198314930946316,1886344578.41494,0.000374317212201663,0.000289004621010515,0.000233754270097031,0.424517121938592,0.141740166411063,0.447343916268573,0.352736120990816,0.22657805847856,0.163734167838687,0.545096532026182,0.292567337587158,0.557152591202843,0.479351172438829,0.370099742693623,0.29934606205933
2050,27863285.4212863,1.17126652048978e-05,30713754.582615,8.68556714338474e-06,1.13432276218866e-05,1.317838490572e-05,50176156.9093167,1.75617118827045e-05,54822883.2538584,1.49513808252233e-05,1.81336070766373e-05,2.01278916362654e-05,1767767428.35357,0.000593478699089256,1901834563.73859,0.000514122968113693,0.00061529532297813,0.00066620421013007,1425522772.30845,0.000497090495760627,1554165831.37898,0.00042151723248929,0.000510012049931853,0.000567256685404965,1255613821.13449,8.43650157349827e-05,1483852962.80147,0.000266760095752037,0.0001655877408876,0.00011467885373566,1597858477.17961,0.000180753219063612,1831521695.16108,0.00035936583137644,0.000270871013933877,0.000213626378460765,0.415301186824222,0.124460865963562,0.438272271486869,0.341613370933481,0.21205190450394,0.146857908747498,0.528500491775614,0.266659135595113,0.540960050448828,0.46020441216565,0.346877818802909,0.273570254428642
2051,25400463.5402141,1.10801198734328e-05,28620178.406609,8.17071680538494e-06,1.07764707007388e-05,1.272941256823e-05,54843957.611023,1.89355840847969e-05,59004841.1637977,1.57686128664696e-05,1.90391732172377e-05,2.12217113775378e-05,1793167891.89378,0.000604558818962689,1930454742.1452,0.000522293684919078,0.000626071793678869,0.0006789336226983,1480366729.91947,0.000516026079845424,1613170672.54278,0.00043728584535576,0.000529051223149091,0.000588478396782503,1230213357.59427,7.32848958615499e-05,1455232784.39486,0.000258589378946652,0.000154811270186861,0.00010194944116743,1543014519.56858,0.000161817634978815,1772516853.99728,0.00034359721850997,0.000251831840716639,0.000192404667083227,0.406899843611382,0.108114738336922,0.429818987424989,0.331149938976158,0.198251540276049,0.130556604291984,0.510360550734334,0.238724106220817,0.523532322490691,0.440011103338579,0.322496225580762,0.246393699628643
