"year","full_renovations_prio","full_renovations_rand","full_renovations_prio_partial","full_renovations_rand_partial","full_renovations_prio_m2","full_renovations_rand_m2","sqm_prio","sqm_rand","sqm_prio_renovated","sqm_rand_renovated","share_flats_prio","share_flats_rand","rate_renovation"
2034,0.00999595171546085,0.0102743123402245,0.0092531144601071,0.00768621022666611,0.0107158261215834,0.00696916803376976,250.206430395436,197.205283735815,217.043121844057,137.33229915209,0.0968774441180139,0.137990127119726,1
2035,0.0100072516983401,0.0101640061120022,0.00917787839581435,0.00753380653852655,0.0104152622760475,0.00701027201032133,248.126181591046,201.88565081487,210.71716119201,139.641489058987,0.101494849760049,0.134833784718405,1
2036,0.00999706857423378,0.0101764229536544,0.00917512101163924,0.00766323225177766,0.0100280726156236,0.00691590667846618,238.913809125348,200.303307972703,203.090364064157,137.593682672905,0.0960780190315963,0.138542782992677,1
2037,0.00999595171546083,0.0099454302803787,0.00920231299500245,0.00747645353061533,0.0098173382218237,0.00688228638751291,233.338838336791,199.953365154608,198.844747169969,140.105015507934,0.096877444118014,0.143874436855107,1
2038,0.00999877671118064,0.00968369114205952,0.00901620690002217,0.0070897065820039,0.00976266769826837,0.00670198442306977,236.862255615175,205.462505746719,197.68155842877,140.122218240732,0.0980327739595513,0.150476939985616,1
2039,0.0100018644972,0.0103775889279348,0.00912746243269505,0.00778755571314875,0.00973128160525746,0.00723137368818054,232.731909710025,201.86716697829,196.985197855447,141.081107477306,0.106410231146668,0.132691820714103,1
2040,0.0100006819408521,0.0102891599921473,0.00916645169057631,0.00781403670863811,0.00941921075757783,0.00735136302660325,224.142909741557,205.921084224869,190.690658422283,144.654673190857,0.100904593918133,0.140983564687701,1
2041,0.00999792264270721,0.00984129962419501,0.00903440690086593,0.00745855972267605,0.00936087837932894,0.00690084847378984,227.663569923447,201.539578111236,189.562029497477,141.969337664017,0.10605791787411,0.13938863929184,1
2042,0.00999943368692944,0.0100179604030454,0.00902265986164566,0.0074864099536985,0.009213535543679,0.00693963182568816,224.144147875798,201.389523819747,186.550075901909,140.249602302413,0.107093111876166,0.139291475938774,1
2043,0.0100043610050454,0.0098801268909487,0.00899073561716449,0.00745047403481034,0.00888787149762694,0.00688909494095593,216.978476649794,201.97839998801,179.867596440241,141.170569525105,0.0940379172440058,0.140037768970927,1
2044,0.0100001563602531,0.0104544550905436,0.00881435767669044,0.00791209962610927,0.00877320546016164,0.00723154593719164,220.279736221161,198.347778705101,177.621702637969,140.047147381303,0.104457510757809,0.130459372839815,1
2045,0.0100038354244464,0.00970031262850397,0.00880196313666517,0.00711913280404227,0.00887633805815134,0.00658208067290253,223.910647533332,201.689031950857,179.643626975863,137.379518150946,0.115583400647529,0.143581824708264,1
2046,0.00999838252573136,0.0101975775727655,0.00896512952910572,0.00740984431603412,0.00845874143158536,0.00701762430367678,208.948396300398,203.359897942467,171.285468695848,139.327747357558,0.0961968092096614,0.135034145084395,1
2047,0.00999496625183763,0.00955617214921878,0.0089899392775699,0.00718365534702793,0.00860518889937313,0.00678887973463301,210.995848972729,204.377077868229,174.310518762729,143.83304329984,0.110296050901824,0.151384945379046,1
2048,0.0100003534529778,0.00999306102216624,0.00876752983017052,0.00748047608648215,0.00852203835614969,0.00681876049963216,217.186833165736,200.027286541531,172.53319060952,138.150167679455,0.123375684873011,0.143451649168018,1
2049,0.0100044267026203,0.0105062247795485,0.00877339513822442,0.00776311296981147,0.00834366344070139,0.00724112143760125,213.091705491148,203.116297008039,168.853120092278,139.541588251807,0.118334646703441,0.131317300116308,1
2050,0.00999575462273619,0.0104353370962537,0.00874782326222159,0.00774635960939525,0.00814445448706264,0.00708754847503661,210.351835723401,199.510248771754,164.964666500488,137.509935572349,0.113967978547204,0.131453862086765,1
2051,0.0100051493759439,0.0102553257410844,0.00876246763640863,0.00758482366330545,0.0081376744636224,0.00701497629009431,208.559850505204,200.608550850279,164.67256665517,138.490909427823,0.115699548889954,0.133761266888319,1
2052,0.00999871101360576,0.0100789277525335,0.00875571804267392,0.00751424683562925,0.00795774922427562,0.00714650377317203,203.606846534709,205.318897869867,161.135322135236,143.556814997102,0.109729093979355,0.140925860742825,1
2053,0.010000747638427,0.00990975649721924,0.00866221532461825,0.00748907935213528,0.00800565063267106,0.00706763081288227,208.849580867307,203.183582024813,162.072258586456,144.39607605046,0.125210216523018,0.139884247442636,1
2054,0.0100002877554029,0.00989891639736416,0.00874247629705568,0.00722433219923947,0.00782527972141199,0.00676671254325599,201.401340446652,203.88956757317,158.427982958067,138.39952206143,0.11706970969077,0.143488591263256,1
2055,0.0100006819408521,0.0100931841262823,0.00863496494513768,0.00753936421139945,0.00780631882752654,0.00692262028200879,203.799998664538,200.85496062126,158.037877629791,138.86309273799,0.1189045019478,0.141247534677245,1
2056,0.00999555753001157,0.0100439766426977,0.00875182054699511,0.0073807151109347,0.00766069952000763,0.00678412489028035,197.493363232712,199.304827775669,155.169344005227,136.751676539569,0.113050050938249,0.134351983882993,1
2057,0.0100031127511227,0.00999601741303576,0.00854948917907558,0.00733662770162397,0.00746294096430969,0.00685311438915523,197.86370312587,202.869400470654,151.049524075287,138.805123245697,0.118218836201234,0.139202902360796,1
2058,0.00999890810633041,0.0105780979264665,0.00857131757794322,0.00805399660464732,0.00751455337121242,0.00742244458276457,200.465198717266,201.774226553006,152.158113591173,142.063954556152,0.128649898814686,0.13551784960127,1
2059,0.0100025871705236,0.0104792230762731,0.00850016430708768,0.00791986760683644,0.00729224907616004,0.00729937473019905,197.588729633174,201.774287447853,147.602484717958,141.026618738707,0.121771799385229,0.131655664014744,1
2060,0.00999325811489079,0.0098974710507168,0.00852146107384249,0.00743038297522567,0.00732912322837791,0.00675480875485646,195.778944378752,197.641442389772,148.487343632394,138.1762291576,0.126355926632042,0.130632185433979,1
